tittle,text,domain,topic
Thủ tướng Abe cúi đầu xin lỗi vì hành động phi thể thao của tuyển Nhật," Theo Sankei Sports, sáng nay Thủ tướng Nhật Bản Shinzo Abe công khai gửi lời xin lỗi tới Nhật hoàng và toàn bộ người dân vì tinh thần thi đấu phi thể thao của đội tuyển Nhật tại World Cup 2018.Tối qua, sau lượt trận cuối vòng bảng World Cup 2018, Nhật Bản có cùng chỉ số phụ như Senegal, đội bị loại sau khi thua Colombia. Nhưng Nhật Bản vào vòng sau nhờ chỉ số fair-play vì nhận ít thẻ phạt hơn",binhluan.biz,Thể thao 
Thủ tướng Nhật cúi đầu xin lỗi vì tinh thần phi thể thao của đội bóng,"Sáng 19/6, Thủ tướng Nhật Bản Shinzo Abe công khai gửi lời xin lỗi tới Nhật hoàng và toàn bộ người dân vì tinh thần thi đấu phi thể thao của đội tuyển Nhật tại World Cup 2018.",www.ipick.vn,Thể thao
Choáng! Cơ trưởng đeo khăn quàng quẩy banh nóc trên sân khấu trường!!!,"Choáng! Cơ trưởng đeo khăn quàng quẩy banh nóc trên sân khấu trường!!!
 Xót xa hình ảnh thầy trò lội bùn băng rừng đến trường ở Nghệ An
 Sau lũ, nhiều học sinh vùng cao và giáo viên ở Nghệ An phải đối mặt với thiếu thốn vì giao thông bị chia cắt, cơ sở vật chất bị lũ cuốn trôi.",tintucqpvn.net,Đời sống 
Chưa bao giờ nhạc Kpop lại dễ hát đến thế!!!,"Chưa bao giờ nhạc Kpop lại dễ hát đến thế!!!
 Giáo sư Nguyễn Lân Dũng: ‘Con tôi thành đạt nhờ cách đánh vần ‘ô vuông tam giác’
 GS.Nguyễn Lân Dũng khẳng định: Con ông, PGS.TS Nguyễn Lân Hiếu thành công nhờ phương pháp học tiếng Việt của GS Hồ Ngọc Đại.",tintucqpvn.net,Giải trí 
"Đại học Hutech sẽ áp dụng cải cách ""Tiếq Việt"" vào năm học 2018?"," Mới đây, ông Phạm Ngọc Thanh, Phó giám đốc Sở GD – ĐT Tp. Hồ Chí Minh chuyên trách về Hệ giáo dục Đại học tại thành phố đã lên tiếng về vấn đề cải cách tiếng Tiếng Việt của PGS.TS Bùi Hiền.",www.gioitreviet.net,Giáo dục 
"Cười vỡ bụng khi tiếng CẢI CÁCH ""vuông tròn"" xâm nhập chợ búa, các mẹ sử dụng chuyên nghiệp"," Những ngày qua, các phụ huynh liên tục chia sẻ các clip con học tập đọc với phương pháp mới, đọc thơ qua các hình tam giác, ô vuông mà không đánh vần chữ.
 Học máy móc, rắc rối?",giadinhtiepthi.com,Giáo dục 
"Chia sẻ thẳng thắn vụ việc 25000 USD và cải cách giáo dục, rốt cục là “sân si” hay là “ganh tị”"," Những ngày qua, trên mạng xã hội các phụ huynh liên tục chia sẻ các clip con học tập đọc với phương pháp mới, đọc thơ qua các hình tam giác, ô vuông mà không đánh vần chữ và clip những hoa hậu á hậu , mc bán dâm...",giadinhtiepthi.com,Giáo dục 
Hại não với Vọng Cổ mang tên Vuông Tròn Tam Giác!," Chương trình công nghệ giáo dục: Hãy tôn trọng sự khác biệt !
 Trong “cơn bão” tranh luận về chương trình công nghệ giáo dục những ngày vừa qua, có những người từng là “sản phẩm” của chương trình này đã lên tiếng. Chính họ là người đã trải nghiệm được chương trình này như thế nào, tốt hay không tốt đối với bản thân mình.",tintucqpvn.net,Giáo dục 
"Kinh hoàng bé gái bị chó nhà tấn công, cắn vào khắp người gây phẫn nộ"," Chiều 11.9, tại buổi giao ban báo chí Thành ủy Hà Nội, trước phản ảnh của báo chí về thực trạng phố đi bộ xung quanh hồ Hoàn Kiếm vẫn xuất hiện chó không rọ mõm mặc dù theo quy định việc này bị cấm, Phó Chủ tịch UBND quận Hoàn Kiếm Đinh Hồng Phong thừa nhận tình trạng trên. “Chúng tôi rất nhọc với câu chuyện chó không rọ mõm khi đi vào phố đi bộ” – ông Phong nói.",tintucqpvn.net,Đời sống 
Bức vẽ giúp bạn đánh giá mức độ stress của bản thân," Nhìn bức tranh, bạn có thể thấy vòng tròn đang chuyển động một cách chậm rãi. Người khác lại cho biết họ thấy hình ảnh chuyển động rất nhanh và đau đầu khi nhìn chúng quá lâu",suckhoe.vnexpress.net,Y tế 
KHẨN CẤP: Hàng loạt trẻ em nhập viện vì ngộ độc thịt lợn có chứa thuốc an thần," Xét nghiệm ban đầu từ các trẻ nhập viện cho thấy các bé đều có dấu hiệu bị ngộ độc với chất acepromazin, đây là chất có trong thuốc an thần thường được tiêm cho heo trước khi mổ. Hiện đã có 63 trẻ nhập viện trong tình trạng nguy hiểm, số lượng các trẻ nhập viện cấp cứu ngày một tăng cao.",phapluat.news,Y tế 
"Không đủ tiền tiêu hủy, Chi cục Thú y đề nghị Thảo Cầm Viên mua lại chó hoang làm mồi cho sư tử"," Sáng ngày 28/9, theo nguồn tin riêng từ UBND Thành phố. Chi cục Thú y vừa có văn bản đề nghị xem xét phương án mới về việc tiêu hủy chó vô chủ bị bắt trong thời gian qua",phapluat.news,Đời sống 
KHẨN CẤP: Xuất hiện xe bắt chó giả ở TP.HCM," Suốt nhiều ngày qua lực lượng săn bắt chó đã đi tuần tra rộng khắp nhiều quận, bắt được nhiều chú chó chạy rông về chi cục. Tuy nhiên, ngày 13/9 cơ quan Công an quận Bình Tân cho biết vừa bắt được đối tượng giả mạo đội săn bắt chó của Chi cục Thú y TP.HCM.",autoxe.net,An ninh 
Đề xuất cấm tất cả công chức Hà Nội đổ xăng tại trạm xăng Nhật," Theo một nguồn tin, chiều ngày 11/10 UBND TP.Hà Nội nhận được công văn của Hiệp hội các doanh nghiệp xăng dầu tại Hà Nội về vấn đề sử dụng xăng dầu trên địa bàn. Tổng giám đốc Công ty Xăng dầu IQ8 có mặt tại trạm xăng dầu Thăng Long, ông đội mưa hàng tiếng đồng hồ, cúi chào khách vào đổ xăng.",phapluat.news,Chính trị 
"Thanh niên 24 bỗng hóa người rắn sau 1 đêm, da dẻ nứt toác đen xì ai nhìn cũng hã-i","Chỉ mới 3 tháng phát bệnh, nam thanh niên điển trai bỗng trở thành “người rắn” với làn da nứt toát đen xì. Hoàn cảnh nghèo túng lại mặc cảm vì bệnh tật, chàng trai 24 tuổi không chịu ăn uống nên thân hình càng gầy còm đáng sợ.",tintucqpvn.net,Đời sống 
5 mẹo 'thần thánh' đánh bay mụn trong một đêm," Nếu bạn cần một phương pháp trị mụn nhanh chóng, hiệu quả và an toàn chỉ trong một đêm thì đây là những mẹo 'thần thánh' bạn cần nắm giữ.
 Đánh bay mụn bằng kem đánh răng",thegioitre.vn,Y tế 
"Dân tình ""tá hỏa"" với hình ảnh ""mát mẻ"", phì phèo thuốc lá của Erik sau bao nhiêu năm làm ""trai ngoan""","Giọng ca ""Sau tất cả"" đã chán hình ảnh kín đáo và quyết định nổi loạn hơn trong tương lai.
 Sau một thời gian tập trung cho các dự án cá nhân, mới đây, Erik đã tung bộ ảnh mới theo phong cách nam tính, bụi bặm nhưng vẫn giữ được vẻ điển trai, nam thần vốn có. ",thegioitre.vn,Giải trí 
Hollywood sẽ làm siêu phẩm về Tết Mậu Thân 1968 ở Huế?," Đạo diễn Michael Mann đã gặp nguyên tổng biên tập báo Thanh Niên Nguyễn Công Khế và đạo diễn Nguyễn Trung Trực (chồng ca sĩ Trịnh Vĩnh Trinh- em nhạc sĩ Trịnh Công Sơn), để bàn về việc hợp tác dịch vụ thực hiện phim Huế 1968 - 8 tập.",www.ipick.vn,Giải trí 
Hoạ sỹ khuyết tật Lê Minh Châu trở thành người Việt đầu tiên có tên trên Đại lộ Danh vọng Hollywood, Họa sĩ khuyết tật Lê Minh Châu vừa chia sẻ tấm ảnh anh chụp cùng với một ngôi sao được gắn trên Đại lộ Danh vọng ở Hollywood với dòng chữ: Chau Beyond The Lines.,baoangiang.com.vn,Đời sống 
