tittle,text,domain,topic
Tung tin Mr Bean qua đời để phát tán virus độc hại," Hôm 19/7, nhiều độc giả cảnh báo nhau trên mạng về một loại virus máy tính phát tán qua tin giả ""Mr. Bean - Rowan Atkinson qua đời"" mạo danh Fox News.
 
 Thông tin lan truyền cách đây ít phút trên mạng xã hội. Theo trang SDE, các đối tượng phát tán những bài đăng giả trên mạng xã hội với hình thức như một đường link tin tức, tiêu đề là ""Tin nóng của Fox News: Mr Bean (Rowan Atkinson) vừa qua đời ở tuổi 62 sau một vụ đâm xe trong lúc đóng cảnh hành động mạo hiểm: Hôm nay, tháng 7/2017"".
",https://news.zing.vn,Giải trí
Nhân chứng kể lại phút đối mặt với tên cướp ngân hàng,"
 ""Lúc đó nhân viên nữ nên la hét, còn tôi và một số người khác khom người chạy vào góc gần đó để trốn"", vị khách giao dịch tại ngân hàng xảy ra vụ cướp tại Khánh Hoà kể.
 Lúc 15h30 ngày 5/9, các đơn vị nghiệp vụ Công an tỉnh Khánh Hòa vẫn đang phong tỏa, khám nghiệm hiện trường vụ cướp xảy ra tại Ngân hàng TMCP Ngoại thương Việt Nam, chi nhánh thị xã Ninh Hòa vào trưa cùng ngày.
 Công an thu thập dữ liệu điều tra vụ cướp ngân hàng Sau vụ cướp, Công an tỉnh Khánh Hòa phong tỏa hiện trường, thu thập vật chứng, điều tra vụ việc.
 ",news.zing.vn,Đời sống
"Hãng chuyển phát nhanh phá sản, khách từ Sài Gòn ra Hà Nội đòi tiền"," Nghe tin GNN Express tuyên bố phá sản, nhiều khách hàng đã tìm đến trụ sở của hãng để đòi lại tiền bị nợ. Trong số này nhiều người dùng dịch vụ của đơn vị này 3-4 năm.
 Sáng 5/9, hàng chục khách hàng đã kéo đến trụ sở Công ty giao hàng GNN Express tại phố Nguyễn Lương Bằng (Hà Nội) để đòi lại tiền sau khi doanh nghiệp này tuyên bố phá sản. Trong con phố nhỏ, trụ sở công ty không còn nhân viên hoạt động, kho hàng đã trống rỗng, nhiều trang thiết bị đã được đóng gói.",news.zing.vn,Kinh tế 
Go-Jek và Grab giành giật thị trường Indonesia ra sao?," Indonesia là chiến trường chính của hai startup tỷ USD của Đông Nam Á khi đây là thị trường duy nhất mà Grab chưa nắm trọn trong tay vì Go-Jek vẫn đang dẫn đầu.
 Nếu tại các thị trường khác, khách hàng từng hưởng lợi từ cuộc cạnh tranh giữa Uber và Grab thì tại Indonesia, diễn biến còn hấp dẫn hơn nhiều khi có tới 3 tay chơi và kẻ dẫn đầu lại là ứng dụng nội Go-Jek.",news.zing.vn,Kinh tế 
Không có chuyện thí điểm chữ viết 'Tiếq Việt' bậc đại học ở TP.HCM," Ông Phạm Ngọc Thanh, Phó giám đốc Sở GD&ĐT TP.HCM, khẳng định ông chưa từng đề nghị triển khai thí điểm chữ viết cải tiến của PGS.TS Bùi Hiền.
 Từ cải tiến chữ viết 'záo zụk' đến chuyện tiếp nhận ý tưởng mới Đề xuất cải tiến chữ viết của PGS Bùi Hiền khiến dư luận tranh cãi. Nhiều chuyên gia cho rằng cần đón nhận nghiêm túc các ý tưởng khoa học, dù chưa khả thi.",news.zing.vn,Giáo dục
Bộ Công Thương kết luận Con Cưng có sai sót nhưng không bán hàng giả,"Bộ Công Thương kết luận Con Cưng có sai sót nhưng không bán hàng giả
 Kết luận về vụ Con Cưng, Bộ Công Thương cho biết doanh nghiệp không nhập lậu hàng hóa, không bán hàng giả, nhưng có sai sót trong ghi nhãn hàng hóa với một số mặt hàng.
 Bộ Công Thương vừa kết luận kiểm tra về việc chấp hành pháp luật về thương mại, sản xuất, buôn bán hàng giả, hàng cấm, cạnh tranh và bảo vệ quyền lợi người tiêu dùng với Công ty cổ phần Con Cưng.
 Không nhập lậu hàng hóa",news.zing.vn,Kinh tế 
"600 vụ việc được công chứng, chứng thực từ văn phòng này"," 600 vụ việc được công chứng, chứng thực từ văn phòng này
 Sở Tư pháp TP.HCM ngày 27.9 vừa gửi công văn khẩn đến Bộ Tư pháp, UBND TP.HCM, Công an TP, TAND, UBND các quận/huyện, Văn phòng đăng ký đất đai, phòng tư pháp… tại TP.HCM báo động thông tin, ngăn chặn giấy tờ giả Cụ thể, nội dung công văn nêu: Qua kiểm tra, Sở Tư pháp phát hiện địa chỉ số 229 Man Thiện, P.Hiệp Phú, Q.9, TP.HCM có treo biển hiệu, quảng cáo nơi đây là trụ sở của Văn phòng công chứng (VPCC) Sao Bắc Đẩu và diễn ra hoạt động hành nghề công chứng.",thanhnien.vn,Pháp luật 
Cây thông chắn ngang đường. Ảnh: Duy Khôi.,"
 Cây thông chắn ngang đường. Ảnh: Duy Khôi.
 21h ngày 28/9, sau cơn mưa lớn, cây thông 20 năm tuổi trên đèo Prenn (Đà Lạt, Lâm Đồng), đoạn cách thác Datanla khoảng một km, bất ngờ bật gốc ngã ngang đường.
 Rất may lúc đó đường vắng nên không có ai bị thương. Tuy nhiên, cây thông dài hàng chục mét nằm chắn ngang đường khiến giao thông qua đây bị tắc nghẽn hàng cây số.
 Lực lượng CSGT Công an TP Đà Lạt đã chốt chặt khu vực đầu và dưới chân đèo để hướng dẫn các xe chạy theo hướng đường đèo Mimosa.",vnexpress.net,Đời sống 
Thanh Bùi ôm vợ khóc trên sân khấu,"Thanh Bùi ôm vợ khóc trên sân khấu
 ""Nếu như không có sự ủng hộ, niềm tin của những người bạn, đồng nghiệp, người hâm mộ và đặc biệt là của Vân, tôi sẽ không thể có được ngày hôm nay"", Thanh Bùi nói.
 Thanh Bùi và Trương Huệ Vân kết hôn năm 2013, có hai con trai sinh đôi năm 2016. Vợ và con Thanh Bùi hiếm khi xuất hiện tại các sự kiện âm nhạc của anh.",giaitri.vnexpress.net,Giải trí 
Mưa lớn do bão Usagi gây ngập úng 70 ha rau ở Lâm Đồng," Ngày 27/11, Ban Chỉ huy Phòng chống thiên tai tỉnh Lâm Đồng cho biết, bão Usagi gây mưa lớn trong ba ngày qua đã khiến hơn 70 ha rau của người dân huyện Đơn Dương bị ngập úng.
 Nhiều thửa rau ở huyện Đơn Dương, Lâm Đồng bị ngập úng do mưa lớn. Ảnh: Khánh Hương.",vnexpress.net,Thời sự 
